Interviewee ID,Normalized Superlative Score
0,0.37491494
1,0.57401186
2,0.13726485
3,0.5339257
4,0.597065
5,0.60339093
6,0.1344549
7,0.5007551
8,0.440769
9,0.40717503
10,0.62561613
11,0.6816505
12,0.5866273
13,0.14437152
14,0.6087058
15,0.5505924
16,0.7820544
17,0.33752847
18,0.47617695
19,0.3364925
20,0.27558967
21,0.23462851
22,0.25833517
23,0.57860917
24,0.34627753
25,0.09171887
26,0.22185571
27,0.41260108
28,0.5278132
29,0.53616035
30,0.40924248
31,0.46176264
32,0.5567574
33,0.59430575
34,0.58078957
35,0.4582289
36,0.3763466
37,0.2388621
38,0.6769528
39,0.61754113
40,0.48101965
41,0.4609579
42,0.5185164
43,0.4075325
44,0.47964403
45,0.584374
46,0.45411268
47,0.46910495
48,0.4793897
49,0.5703954
50,0.56312335
51,0.46824598
52,0.39228946
53,0.42550993
54,0.48245487
55,0.246312
56,0.41599703
57,0.40770948
58,0.47398233
59,0.57663244
60,0.49996188
61,0.3797514
62,0.5623373
63,0.53525335
64,0.43379837
65,0.5171221
66,0.62426186
67,0.5522695
68,0.34697202
69,0.518624
70,0.31734043
71,0.5848542
72,0.492279
73,0.5040523
74,0.4707518
75,0.46679476
76,0.5128503
77,0.46463305
78,0.3550817
79,0.4042993
80,0.47535086
81,0.5600351
82,0.55080587
83,0.45574084
84,0.11097943
86,0.36020187
87,0.3854629
88,0.67374885
89,0.3566583
90,0.41500998
92,0.4810801
93,0.42021284
94,0.4924444
95,0.42182943
96,0.5167806
97,0.48588726
98,0.37728116
99,0.46527773
100,0.42780057
101,0.47178864
102,0.34263438
103,0.43720853
104,0.5606495
105,0.5925842
106,0.48205736
107,0.505692
108,0.34134945
109,0.41201508
110,0.5924152
111,0.60073215
112,0.47510633
113,0.69311523
114,0.5900881
115,0.56596
116,0.4981194
117,0.5546073
118,0.5078733
119,0.4881192
120,0.6175287
121,0.4243726
122,0.5147692
123,0.5618829
124,0.41153046
125,0.49573272
126,0.3796874
127,0.37609938
128,0.57041407
129,0.54062694
130,0.53853637
131,0.5765213
133,0.45523396
134,0.3481022
135,0.50467384
136,0.59149045
137,0.36514062
138,0.5130886
139,0.4837878
140,0.57871324
142,0.54887354
143,0.41162738
144,0.5417544
145,0.5416611
146,0.49548018
147,0.7249752
148,0.30552533
149,0.3359901
150,0.54969966
151,0.87380266
152,0.73713887
153,0.51871115
154,0.52372545
155,0.2593142
156,0.43388996
157,0.53401285
158,0.2511974
159,0.4939854
160,0.49231902
161,0.4312543
162,0.5522455
163,0.6496803
164,0.5623595
165,0.36347598
166,0.37001443
167,0.3822039
168,0.41426572
169,0.39636922
170,0.5734232
171,0.57636213
172,0.45077807
173,0.20273565
174,0.51202595
175,0.3521624
176,0.5058156
177,0.40863428
178,0.637899
179,0.3640842
180,0.58984625
181,0.40956527
182,0.55064225
183,0.49011818
184,0.5970481
185,0.53420675
186,0.5053986
187,0.46816504
189,0.48374513
190,0.54021966
191,0.6250088
192,0.48773327
193,0.6198193
194,0.55014694
195,0.49957684
197,0.29943684
198,0.68174475
199,0.49653748
200,0.2939548
201,0.6023683
202,0.2950912
203,0.34040153
204,0.5438761
205,0.31520098
206,0.63619167
207,0.57250553
208,0.5571789
209,0.623458
210,0.70094573
212,0.4836642
213,0.60177875
214,0.5715185
215,0.47389254
216,0.7781249
217,0.48242018
218,0.27204877
219,0.53046846
220,0.51824874
221,0.35650358
222,0.41452536
223,0.29168192
224,0.5568232
225,0.41184703
226,0.56418777
227,0.5190437
228,0.3294632
229,0.5680488
230,0.4521875
232,0.4181267
233,0.4547778
234,0.46581307
235,0.52018636
236,0.43891585
237,0.2479873
238,0.51974887
239,0.3882088
240,0.46441963
241,0.36897582
242,0.51319087
243,0.41922936
244,0.5834501
245,0.5999052
246,0.61774564
247,0.4691663
248,0.6486799
249,0.39960065
250,0.7703656
251,0.5525265
252,0.66957307
253,0.46427202
254,0.3146381
255,0.51804954
256,0.60987693
257,0.46036658
258,0.6513298
259,0.427741
260,0.576684
261,0.43381616
262,0.37239844
263,0.67713237
264,0.63384414
265,0.58776814
266,0.38722712
267,0.4927645
268,0.3375916
269,0.4868485
270,0.5047085
271,0.502265
272,0.4848033
273,0.53015184
274,0.58210295
275,0.46008024
276,0.69146574
277,0.35664853
279,0.6738849
280,0.4722759
281,0.6028974
282,0.55108863
283,0.48932323
284,0.61908835
285,0.45811772
286,0.5723499
287,0.27650288
288,0.1312626
289,0.40282053
290,0.4167244
291,0.39149716
292,0.54993796
293,0.29844713
294,0.57905203
295,0.5958103
296,0.6595827
297,0.54049885
298,0.4672349
299,0.23614196
300,0.64096236
301,0.4156938
302,0.51508576
303,0.45295668
304,0.5251402
305,0.25984332
306,0.5782606
307,0.44833627
308,0.7519854
309,0.35657206
310,0.4909816
311,0.6760324
312,0.5266599
313,0.39548355
314,0.61427146
315,0.6004458
316,0.6159094
317,0.65068066
318,0
319,0.54717606
320,0.3998185
321,0.3470147
322,0.46949977
323,0.4979949
324,0.5024241
325,0.3893017
326,0.7115737
327,0.64849406
328,0.50603884
329,0.4260248
330,0.5123754
331,0.4769648
332,0.42661524
333,0.5184497
334,0.3270161
335,0.46663558
336,0.34653094
337,0.46149322
338,0.4985996
339,0.45292732
340,0.47744143
341,0.5660978
342,0.45819154
343,0.41964373
344,0.51969016
345,0.697765
346,0.526988
347,0.43134144
348,0.6468303
349,0.52270997
350,0.71804285
351,0.38520503
352,0.44656315
353,0.55909693
354,0.62039554
355,0.23472455
356,0.5029132
357,0.6167746
358,0.7332512
359,0.5183421
360,0.36289355
361,0.47675318
362,0.20225814
363,0.18982236
364,0.6625616
365,0.5526581
366,0.39579743
367,0.55630213
368,0.47070378
369,0.43360898
370,0.2206188
371,0.5458342
372,0.34265128
374,0.64533377
375,0.40563402
376,0.43446618
377,0.50852865
378,0.5265336
379,0.36838004
380,0.506399
381,0.58567494
382,0.33506444
383,0.49310064
384,0.5735984
385,0.3352298
386,0.5749189
387,0.549464
388,0.6416995
389,0.4060893
390,0.39840642
391,0.33014792
392,0.5723437
393,0.39416838
394,0.49384224
395,0.56433004
396,0.63037974
397,0.56506455
398,0.46705887
399,0.5421128
400,0.5408208
401,0.48996523
402,0.4708496
403,0.5582602
404,0.44113445
405,0.42709363
406,0.1376321
407,0.5542498
408,0.40153292
409,0.47904024
410,0.5664917
411,0.15168893
412,0.10869946
413,0.48177195
414,0.5545335
415,0.35744438
416,0.31465587
417,0.4551166
418,0.54768735
419,0.1295544
420,0.39347303
421,0.37146297
422,0.46390212
423,0.59041446
424,0.6474786
425,0.2758324
426,0.5243799
427,0.4142915
428,0.4225097
429,0.25426522
430,0.47868723
431,0.33115005
432,0.60087883
433,0.5104262
434,0.5163796
435,0.68070525
436,0.4893481
437,0.62425745
438,0.38733116
439,0.41792932
440,0.46484113
441,0.42357677
442,0.3687126
443,0.38194603
444,0.42554015
445,0.39012954
446,0.4599415
447,0.30309153
448,0.58473235
449,0.6941974
450,0.59861046
452,0.5831798
453,0.478649
454,0.47980052
455,0.47674695
456,0.5372639
457,0.48505318
458,0.49589723
459,0.26722118
460,0.5057231
461,0.70510465
462,0.36710936
463,0.42401603
464,0.65011865
465,0.66698366
466,0.6458833
467,0.57578146
468,0.5209422
469,0.5539706
470,0.45790076
471,0.5588649
472,0.64010334
473,0.57645905
475,0.4427235
476,0.52165
477,0.53522044
478,0.3637632
479,0.47886953
480,0.5473397
481,0.42473185
482,0.42805934
483,0.35326147
484,0.7285152
485,0.49451005
486,0.36208346
487,0.54587686
488,0.3946379
489,0.34274465
490,0.5839134
491,0.37836334
492,0.51051694
493,0.4460741
494,0.66370153
495,0.419754
496,0.44860926
497,0.64953446
498,0.4646277
499,0.20024493
500,0.5499638
501,0.56359196
502,0.5254185
503,0.45954847
504,0.67889035
505,0.7092004
506,0.3764924
507,0.4990442
508,0.4292153
509,0.3548932
510,0.41260552
511,0.73183644
512,0.3984242
513,0.51894146
514,0.49919537
515,0.45625123
516,0.5421964
517,0.51784235
518,0.4645637
519,0.35927707
520,0.46130824
521,0.4809512
522,0.30177015
523,0.54790074
524,0.42543167
525,0.40209937
526,0.5246538
527,0.64929706
528,0.42780057
529,0.75804365
530,0.47413173
531,0.5480795
532,0.5460956
533,0.65132535
534,0.36429763
535,0.5659689
536,0.45667985
537,0.6441484
538,0.56083983
539,0.43959078
540,0.2678205
541,0.56661624
542,0.572823
543,0.54816574
544,0.41256818
545,0.40184772
546,0.5114364
547,0.54466134
548,0.5859746
549,0.6311231
550,0.5524865
551,0.71852213
552,0.40239725
553,0.4911808
554,0.6958354
555,0.3375987
556,0.3628802
557,0.48759723
558,0.48814145
559,0.37625232
560,0.43993402
561,0.30532083
562,0.44045955
564,0.4423936
565,0.64110285
566,0.44952962
567,0.2592315
568,0.451405
569,0.19186491
570,0.47712398
571,0.40247017
572,0.52060604
574,0.3844385
575,0.49915713
576,0.4989775
577,0.44428766
578,0.3447934
579,0.49958217
580,0.50332046
581,0.63548386
582,0.46502343
583,0.56994903
584,0.49683538
585,0.24595009
586,0.4701925
587,0.65148985
588,0.4125433
589,0.5884253
590,0.5961749
591,0.3356682
592,0.3734166
593,0.46717268
594,0.5739185
595,0.43653274
596,0.5561172
597,0.31944433
598,0.2830289
599,0.28262785
600,0.5148857
601,0.50643986
602,0.56758994
604,0.31213406
605,0.53467
606,0.54920256
607,0.7036161
608,0.42243588
609,0.5702238
610,0.50568044
611,0.4290357
612,0.32665327
613,0.64691037
614,0.62759644
615,0.57015
616,0.6016694
617,0.395488
618,0.3882026
619,0.5098598
620,0.6496198
621,0.5262917
622,0.57307196
623,0.5240136
624,0.5716928
625,0.4407272
626,0.5166793
627,0.5087714
628,0.53040975
629,0.50179636
631,0.4421624
632,0.55370915
633,0.5458858
634,0.5465518
635,0.49237502
636,0.4847126
637,0.34958276
638,0.39486286
640,0.39984164
641,0.34327906
642,0.46053907
643,0.43503085
644,0.55117935
645,0.71185565
646,0.54319054
648,0.49468523
649,0.35559925
650,0.33904725
651,0.4131346
652,0.5677411
653,0.34859574
654,0.30607045
655,0.5079115
656,0.23715213
657,0.6630302
658,0.31426018
659,0.17809796
660,0.48560092
661,0.29614758
662,0.37364691
663,0.30776617
664,0.44295737
665,0.569347
666,0.5229536
667,0.43423054
668,0.52960235
669,0.56694525
670,0.71013856
671,0.17358604
672,0.5300683
673,0.47552603
674,0.7724197
675,0.44163153
676,0.5891473
678,0.21560182
679,0.6124183
680,0.4061969
681,0.49811673
682,0.41068393
683,0.32479924
684,0.4999272
685,0.6206481
686,0.42559084
687,0.39520967
688,0.511175
689,0.4802087
690,0.6976636
691,0.37847894
692,0.41771412
693,0.4524943
694,0.48217475
695,0.474852
696,0.23361212
697,0.48228946
700,0.22997075
701,0.66957486
702,0.36992374
703,0.57035184
704,0.452617
705,0.48559383
706,0.52493036
707,0.58956707
708,0.53962654
709,0.4198678
710,0.47036943
711,0.45083943
712,0.42117676
714,0.55884796
715,0.2362718
716,0.5350728
717,0.42182145
718,0.42606124
719,0.5260339
720,0.46400526
721,0.51494086
722,0.5046703
723,0.49090603
724,0.5759717
725,0.51397955
726,0.3649263
727,0.49876675
728,0.5984655
729,0.34169537
730,0.5305609
731,0.43087462
732,0.5374435
733,0.5033667
734,0.5742929
735,0.46116063
736,0.601496
737,0.4268669
738,0.54069185
739,0.40174812
740,0.5791
741,0.53474736
742,0.34628376
743,0.5027549
744,0.462667
745,0.68430305
746,0.38628277
747,0.46743056
748,0.4790109
749,0.70682794
750,0.3760398
751,0.54991215
752,0.3929813
753,0.50683826
754,0.52086836
755,0.5349003
756,0.6230765
758,0.4226253
759,0.5020293
760,0.47655487
761,0.46177244
762,0.9998508
763,0.8138263
764,0.44683614
765,0.49399075
766,0.46633592
767,0.49374533
768,0.33466604
769,0.68852687
770,0.424763
771,0.5186044
772,0.44853902
773,0.45175177
774,0.5731289
775,0.6605155
776,0.33903837
777,0.44951627
779,0.47004843
780,0.40612665
781,0.36895537
782,0.4644161
783,0.45118445
784,0.6433019
785,0.39188308
786,0.373903
788,0.36478046
789,0.47767174
790,0.4886963
791,0.28684545
792,0.68856776
793,0.430711
794,0.46392345
795,0.3743227
796,0.37314895
797,0.47866145
798,0.6033927
799,0.29359376
800,0.40967822
801,0.36698484
802,0.47702083
803,0.29797763
804,0.47958088
806,0.58134973
807,0.6107652
808,0.26873907
809,0.22850266
810,0.391635
811,0.5742982
812,0.572574
813,0.4843498
814,0.3186298
815,0.4998516
816,0.5674068
817,0.48489043
818,0.51551884
819,0.48622516
820,0.7267341
821,0.29406682
822,0.58305883
823,0.5030137
824,0.49191442
825,0.5361079
826,0.6057936
827,0.60762185
828,0.51171476
829,0.49650902
830,0.5731129
831,0.42137238
832,0.50648165
833,0.41665238
834,0.33122832
835,0.49905753
836,0.48693833
837,0.41894212
838,0.5776844
839,0.6097586
841,0.35424495
842,0.21896218
843,0.48939168
844,0.4709492
845,0.50662124
846,0.35063204
847,0.21259446
848,0.48724422
849,0.5017652
850,0.570359
851,0.4498444
852,0.41236812
853,0.59506154
854,0.48017666
855,0.6401469
856,0.5103284
857,0.47460482
858,0.5837418
859,0.5193042
860,0.4149015
861,0.5003442
862,0.533731
863,0.6664626
864,0.44535115
865,0.58406186
867,0.39392564
870,0.5592437
872,0.53629285
873,0.45746058
874,0.52401626
875,0.5442718
877,0.4045127
878,0.4350326
879,0.540538
880,0.48809075
881,0.6226764
882,0.49685314
883,0.43051538
884,0.5067244
885,0.5650245
886,0.5379281
887,0.51007146
888,0.54335326
889,0.44917303
890,0.3963701
891,0.43690708
892,0.3270152
893,0.52641004
894,0.6381649
895,0.30242196
896,0.41010058
897,0.2617516
898,0.5828703
899,0.41388336
900,0.46991238
901,0.53488165
902,0.39804006
903,0.36443457
904,0.4652315
905,0.6446064
906,0.58112836
907,0.550355
908,0.24313748
909,0.5399742
911,0.5353707
912,0.4940779
913,0.59589297
914,0.62093437
915,0.47045302
916,0.38484043
917,0.4980954
918,0.46390656
919,0.43210086
920,0.30068532
922,0.58930117
923,0.45606452
924,0.5931542
925,0.42339712
926,0.42518625
927,0.56032056
928,0.5333904
929,0.49155426
930,0.38491425
931,0.5929381
932,0.54406554
933,0.4303473
934,0.5289532
935,0.72446305
936,0.48431513
937,0.5111643
938,0.5857763
939,0.4586628
940,0.35003093
941,0.43186608
942,0.55128515
943,0.465332
945,0.5734259
946,0.6123365
947,0.3487967
948,0.45153835
949,0.41457248
950,0.44916326
951,0.6014586
952,0.4958768
953,0.64615184
954,0.18473867
955,0.61418873
956,0.44209215
957,0.624574
958,0.45187005
959,0.4061569
960,0.52096623
961,0.5667247
962,0.69768673
963,0.34759003
964,0.31697142
965,0.44470114
966,0.6801824
967,0.47066465
968,0.576315
969,0.56968313
970,0.5951629
971,0.5415277
972,0.4494078
973,0.44670632
975,0.5824319
976,0.57501227
977,0.49646634
978,0.40311754
979,0.5899574
980,0.48429465
981,0.47590217
982,0.2533671
983,0.4812046
984,0.386618
985,0.5688286
986,0.48691252
987,0.5067929
988,0.47789758
989,0.6330794
990,0.81051135
991,0.5213575
992,0.521305
993,0.53906363
994,0.5901317
995,0.41503578
996,0.28798366
997,0.5660676
998,0.31333628
999,0.49761876